id,question,keywords,timestamp
unanswered_1748849100.926103,東京から日帰りで行ける花火大会どこ？アクセスどう行く？,"[""\u82b1\u706b\u5927\u4f1a"", ""\u6771\u4eac"", ""\u65e5\u5e30\u308a""]",2025-06-02T16:25:00.926102
unanswered_1748849104.645929,夏の日本で夜景や屋台巡り、どこがオススメ？,"[""\u591c\u666f"", ""\u5c4b\u53f0"", ""\u590f""]",2025-06-02T16:25:04.645928
unanswered_1748849107.183242,初めての日本旅行、関東で効率よく回るならどのルート？,"[""\u95a2\u6771"", ""\u65c5\u884c"", ""\u30eb\u30fc\u30c8""]",2025-06-02T16:25:07.183241
unanswered_1748849109.502159,浴衣レンタルして花火大会行くなら、どのプランがオススメ？費用は？,"[""\u6d74\u8863\u30ec\u30f3\u30bf\u30eb"", ""\u82b1\u706b\u5927\u4f1a"", ""\u30d7\u30e9\u30f3""]",2025-06-02T16:25:09.502157
unanswered_1748849112.02381,子ども2人連れて行くなら、東京近郊のどこが家族向け？,"[""\u6771\u4eac\u8fd1\u90ca"", ""\u5bb6\u65cf\u5411\u3051"", ""\u5b50\u4f9b\u5411\u3051""]",2025-06-02T16:25:12.023807
unanswered_1748849114.603413,6月〜8月に日本行くなら、どんな服装がベスト？,"[""\u65e5\u672c"", ""\u670d\u88c5"", ""6\u6708\uff5e8\u6708""]",2025-06-02T16:25:14.603412
unanswered_1748849117.015293,インスタ映えする日本の花火スポット、どこがいい？,"[""\u82b1\u706b"", ""\u30a4\u30f3\u30b9\u30bf\u6620\u3048"", ""\u30b9\u30dd\u30c3\u30c8""]",2025-06-02T16:25:17.015292
unanswered_1748849119.506383,花火大会で写真撮るなら、どこから撮るといい？,"[""\u82b1\u706b\u5927\u4f1a"", ""\u64ae\u5f71\u5834\u6240"", ""\u5199\u771f""]",2025-06-02T16:25:19.506382
unanswered_1748849121.991936,旅行予算1000ドルで夏の日本、花火も見たいけどプランどう組む？,"[""\u65e5\u672c\u65c5\u884c"", ""\u82b1\u706b"", ""\u4e88\u7b971000\u30c9\u30eb""]",2025-06-02T16:25:21.991934
unanswered_1748849124.403854,花火を見るとき、何を持っていけばいい？注意点も教えて！,"[""\u82b1\u706b"", ""\u6301\u3061\u7269"", ""\u6ce8\u610f\u70b9""]",2025-06-02T16:25:24.403852
unanswered_1748849127.044024,夏限定ファッションイベント、いつどこでやってる？,"[""\u590f\u9650\u5b9a"", ""\u30d5\u30a1\u30c3\u30b7\u30e7\u30f3\u30a4\u30d9\u30f3\u30c8"", ""\u958b\u50ac\u60c5\u5831""]",2025-06-02T16:25:27.044023
unanswered_1748849129.288765,東京で浴衣や和小物買うなら、どの店がいい？,"[""\u6d74\u8863"", ""\u548c\u5c0f\u7269"", ""\u6771\u4eac""]",2025-06-02T16:25:29.288763
unanswered_1748849131.972169,出張ついでに見れる夜の花火スポット、どこある？,"[""\u82b1\u706b"", ""\u591c"", ""\u51fa\u5f35\u3064\u3044\u3067""]",2025-06-02T16:25:31.972167
unanswered_1748849134.322188,羽田か成田から日帰りで行ける花火大会、どれ？,"[""\u82b1\u706b\u5927\u4f1a"", ""\u65e5\u5e30\u308a"", ""\u7fbd\u7530\u6210\u7530""]",2025-06-02T16:25:34.322186
unanswered_1748849137.022506,夏休みに子ども連れて楽しめる東京近郊の安全な施設は？,"[""\u590f\u4f11\u307f"", ""\u5b50\u4f9b\u5411\u3051\u65bd\u8a2d"", ""\u6771\u4eac\u8fd1\u90ca""]",2025-06-02T16:25:37.022504
unanswered_1748849139.198949,英語サポートしっかりある観光施設、どこ？,"[""\u89b3\u5149\u65bd\u8a2d"", ""\u82f1\u8a9e\u30b5\u30dd\u30fc\u30c8""]",2025-06-02T16:25:39.198947
unanswered_1748849141.807203,接待用に花火観るなら、どこ行けば席取れる？,"[""\u82b1\u706b"", ""\u63a5\u5f85"", ""\u5e2d\u4e88\u7d04""]",2025-06-02T16:25:41.807201
unanswered_1748849144.07139,花火大会で貸切屋形船使うなら、どのプランがある？,"[""\u82b1\u706b\u5927\u4f1a"", ""\u5c4b\u5f62\u8239"", ""\u30d7\u30e9\u30f3""]",2025-06-02T16:25:44.071389
unanswered_1748849146.526166,関西の花火大会いつ？チケットどう買う？,"[""\u95a2\u897f"", ""\u82b1\u706b\u5927\u4f1a"", ""\u30c1\u30b1\u30c3\u30c8""]",2025-06-02T16:25:46.526165
